Distrito;RP
Ancón;3,725
Ate;57,374
Barranco;11,604
Breña;22,721
Carabayllo;30,418
Chaclacayo;8,111
Chorrillos;47,107
Cieneguilla;3,993
Comas;60,134
El Agustino;21,626
Independencia;25,923
Jesús María;32,604
La Molina;54,075
La Victoria;39,609
Lima;62,332
Lince;22,279
Los Olivos;52,053
Lurigancho-Chosica;19,396
Lurín;11,320
Magdalena del Mar;21,603
Miraflores;46,868
Pachacámac;7,177
Pucusana;799
Pueblo Libre;28,940
Puente Piedra;41,235
Punta Hermosa;1,473
Punta Negra;1,147
Rímac;31,536
San Bartolo;903
San Borja;47,091
San Isidro;29,441
San Juan de Lurigancho;111,039
San Juan de Miraflores;54,955
San Luis;13,953
San Martín de Porres;87,400
San Miguel;42,193
Santa Anita;25,927
Santa María del Mar;416
Santa Rosa;1,575
Santiago de Surco;104,387
Surquillo;25,644
Villa El Salvador;44,354
Villa María del Triunfo;51,512
Total;1,402,627
